Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java/main;4.0.0;35;5;5;0;1;2;10;6;1;3;7;3;10;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readAbsolute;4.0.0;9;3;3;0;2;2;3;2;1;3;13;0;13;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run;4.0.0;40;11;13;0;0;4;1;5;1;15;158;57;215;5;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept;4.0.0;6;2;1;0;1;1;1;0;1;7;19;2;21;4;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept;4.0.0;5;2;1;0;1;1;2;0;1;8;42;6;48;4;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie;4.0.0;11;3;3;0;1;2;2;0;1;8;46;1;47;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper;4.0.0;39;6;7;0;2;3;3;1;1;5;40;0;40;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/process;4.0.0;14;6;7;0;1;3;2;0;1;3;26;0;26;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle;4.0.0;22;5;7;0;3;4;3;4;1;10;25;12;37;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle;4.0.0;19;4;5;0;2;3;3;3;1;7;36;2;38;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createHandle;4.0.0;2;1;0;0;2;0;1;0;1;1;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/rollLog;4.0.0;16;4;5;0;0;3;6;5;1;5;32;8;40;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readLog;4.0.0;23;5;7;0;0;4;3;7;1;3;14;16;30;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run;4.0.0;68;12;16;0;0;6;3;9;1;9;127;18;145;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main;4.0.0;20;2;1;0;1;1;7;6;1;3;5;0;5;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/write;4.0.0;22;5;5;0;1;2;5;2;1;1;3;3;6;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/read;4.0.0;46;13;17;0;2;6;4;7;1;2;5;2;7;2;Yes
