Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setAction;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setIgnoreErrors;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setOpenJPATables;0.9.0;5;1;0;1;1;0;1;0;1;1;2;0;2;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setDropSequences;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setSequences;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setPrimaryKeys;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setForeignKeys;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setIndexes;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/setRecord;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java/executeOn;0.9.0;6;2;1;3;1;1;4;1;1;2;4;2;6;2;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java/setAction;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
